Metro Area,Annual median wage,Cost-of-living adjusted annual median wage
"Fargo, ND-MN",      106260,120850
"Farmington, NM",       85300,96464
"Fayetteville, NC",       87120,95319
"Fayetteville-Springdale-Rogers, AR-MO",      103450,114032
"Flagstaff, AZ",      107500,112552
"Flint, MI",      100440,110706
"Florence, SC",      103250,117005
"Florence-Muscle Shoals, AL",       90150,107105
"Fond du Lac, WI",       80890,90489
"Fort Collins, CO",      114980,117092
"Fort Smith, AR-OK",       84640,98861
"Fort Wayne, IN",      106590,115035
"Fresno, CA",      140210,133247
"Gadsden, AL",       82740,101022
"Gainesville, FL",      103860,107775
"Gainesville, GA",      101500,104701
"Gettysburg, PA",       83070,87017
"Glens Falls, NY",       85980,93058
"Grand Forks, ND-MN",      100010,115239
"Grand Island, NE",       89980,103977
"Grand Junction, CO",       98560,105040
"Grand Rapids-Wyoming, MI",      122680,130290
"Grants Pass, OR",      141910,138096
"Great Falls, MT",       86030,94246
"Greeley, CO",      129900,136862
"Green Bay, WI",      128520,142074
"Greensboro-High Point, NC",      106520,114898
"Greenville, NC",      125890,142242
"Greenville-Anderson-Mauldin, SC",      105490,113210
"Gulfport-Biloxi-Pascagoula, MS",       84070,94547
"Hagerstown-Martinsburg, MD-WV",       87050,93116
"Hammond, LA",       80910,90540
"Hanford-Corcoran, CA",      111210,108639
"Harrisburg-Carlisle, PA",      113150,117976
"Harrisonburg, VA",      100560,105860
"Hartford-West Hartford-East Hartford, CT",      138900,132350
"Hattiesburg, MS",       82540,92733
"Hickory-Lenoir-Morganton, NC",       79930,89031
"Hilton Head Island-Bluffton-Beaufort, SC",       94940,95592
"Hinesville, GA",       80000,84629
"Homosassa Springs, FL",       82100,86623
"Hot Springs, AR",       67360,78399
"Houma-Thibodaux, LA",       95840,108275
"Houston-The Woodlands-Sugar Land, TX",      139510,141259
"Huntington-Ashland, WV-KY-OH",       82410,93082
"Huntsville, AL",      137940,148828
"Idaho Falls, ID",       86100,94676
"Indianapolis-Carmel-Anderson, IN",      129650,138355
"Iowa City, IA",      105790,115823
"Ithaca, NY",      125490,127129
"Jackson, MI",      101760,111435
"Jackson, MS",       80870,89493
"Jackson, TN",      101810,117239
"Jacksonville, FL",      108980,110667
"Jacksonville, NC",       99170,107120
"Janesville-Beloit, WI",       94940,103511
"Jefferson City, MO",      112080,128640
"Johnson City, TN",      111610,127621
"Johnstown, PA",       92430,105737
"Jonesboro, AR",      102470,118890
"Joplin, MO",      100970,118734
"Kahului-Wailuku-Lahaina, HI",      118790,109597
"Kalamazoo-Portage, MI",       96170,101663
"Kankakee, IL",       84920,92317
"Kansas City, MO-KS",      129370,140392
"Kennewick-Richland, WA",      106330,101818
"Killeen-Temple, TX",      122510,133762
"Kingsport-Bristol-Bristol, TN-VA",      119960,139116
"Kingston, NY",      106290,106940
"Knoxville, TN",      117440,128580
"Kokomo, IN",      108230,124817
"La Crosse-Onalaska, WI-MN",       97730,107254
"Lafayette, LA",       99320,110743
"Lafayette-West Lafayette, IN",      130160,141612
"Lake Charles, LA",       99880,111539
"Lake Havasu City-Kingman, AZ",       99280,106930
"Lakeland-Winter Haven, FL",       97840,101672
"Lancaster, PA",       99020,102509
"Lansing-East Lansing, MI",      108300,115433
"Laredo, TX",       96820,107228
"Las Cruces, NM",      100950,116204
"Las Vegas-Henderson-Paradise, NV",      131690,136430
"Lawrence, KS",       86650,93737
"Lawton, OK",       97100,113838
"Lebanon, PA",       92370,99344
"Lewiston, ID-WA",       78990,92660
"Lewiston-Auburn, ME",       82170,81015
"Lexington-Fayette, KY",       95220,104385
"Lima, OH",       80550,90086
"Lincoln, NE",       95970,104304
"Little Rock-North Little Rock-Conway, AR",       87240,97850
"Logan, UT-ID",      100760,108732
"Longview, TX",      101840,117157
"Longview, WA",      112690,111027
"Los Angeles-Long Beach-Anaheim, CA",      174860,154594
"Louisville/Jefferson County, KY-IN",       97110,105198
"Lubbock, TX",      118960,129580
"Lynchburg, VA",       99670,109550
"Madison, WI",      103190,108255
"Manchester, NH",      111610,103385
"Manhattan, KS",      100290,111731
"Mankato-North Mankato, MN",       93750,105189
"Mansfield, OH",       75900,86594
"McAllen-Edinburg-Mission, TX",       99520,114484
"Medford, OR",      109570,103669
"Memphis, TN-MS-AR",      112230,122199
"Merced, CA",      127550,123853
"Miami-Fort Lauderdale-West Palm Beach, FL",      108320,97138
"Michigan City-La Porte, IN",       84220,95150
"Midland, MI",      178770,203051
"Midland, TX",      151340,157634
"Milwaukee-Waukesha-West Allis, WI",      129750,136685
"Minneapolis-St. Paul-Bloomington, MN-WI",      148090,143849
"Missoula, MT",       84770,93942
"Mobile, AL",      112520,128830
"Modesto, CA",      136610,128935
"Monroe, LA",      102380,117712
"Monroe, MI",       97520,104735
"Montgomery, AL",      110950,123770
"Morgantown, WV",      119730,129470
"Morristown, TN",      107050,122129
"Mount Vernon-Anacortes, WA",      106070,100328
"Muncie, IN",       61970,70306
"Muskegon, MI",      100400,109536
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",       87480,92776
"Napa, CA",      170960,151445
"Naples-Immokalee-Marco Island, FL",      104070,101522
"Nashville-Davidson--Murfreesboro--Franklin, TN",      122840,127191
"New Bern, NC",      101870,111936
"New Haven, CT",      130480,123835
"New Orleans-Metairie, LA",      127250,135900
"New York-Newark-Jersey City, NY-NJ-PA",      176170,155836
"Niles-Benton Harbor, MI",       99370,113013
"North Port-Sarasota-Bradenton, FL",       84370,83171
"Ocala, FL",       87480,92952
"Ocean City, NJ",      110610,107156
"Odessa, TX",      122920,130498
"Ogden-Clearfield, UT",      101380,107631
"Oklahoma City, OK",       97340,106556
"Olympia-Tumwater, WA",      116330,108298
"Omaha-Council Bluffs, NE-IA",      106800,115995
"Orlando-Kissimmee-Sanford, FL",      126380,125868
"Oshkosh-Neenah, WI",      101310,111059
"Owensboro, KY",       77540,87792
"Oxnard-Thousand Oaks-Ventura, CA",      164240,143573
"Palm Bay-Melbourne-Titusville, FL",      106000,106707
"Panama City, FL",       93640,96019
"Parkersburg-Vienna, WV",       96560,110676
"Pensacola-Ferry Pass-Brent, FL",       97600,102202
"Peoria, IL",      127780,142346
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",      128750,127869
"Phoenix-Mesa-Scottsdale, AZ",      129930,125315
"Pine Bluff, AR",       64520,79776
"Pittsburgh, PA",      119110,126910
"Pittsfield, MA",      127630,127135
"Pocatello, ID",       75750,86683
"Port St. Lucie, FL",       80000,81367
"Portland-South Portland, ME",       96550,92057
"Portland-Vancouver-Hillsboro, OR-WA",      136120,125161
"Prescott, AZ",      103920,112067
"Providence-Warwick, RI-MA",      150720,145033
"Provo-Orem, UT",      129970,137127
"Pueblo, CO",       88290,97561
"Punta Gorda, FL",       98660,102782
"Racine, WI",       80100,88212
"Raleigh, NC",      118910,120869
"Rapid City, SD",       82760,91244
"Reading, PA",      108880,113057
"Redding, CA",      122900,118451
"Reno, NV",      129120,131381
"Richmond, VA",      133410,136563
"Riverside-San Bernardino-Ontario, CA",      145520,136728
"Roanoke, VA",      122480,132613
"Rochester, MN",      100190,108756
"Rochester, NY",      117200,123096
"Rockford, IL",       95560,105507
"Rocky Mount, NC",       85200,97064
"Rome, GA",       82540,90685
"Sacramento--Roseville--Arden-Arcade, CA",      161240,146742
"Saginaw, MI",       94240,108331
"Salem, OR",      138670,132336
"Salinas, CA",      134990,119393
"Salisbury, MD-DE",      106380,111700
"Salt Lake City, UT",      113640,118777
"San Angelo, TX",       93730,101113
"San Antonio-New Braunfels, TX",      130320,137026
"San Diego-Carlsbad, CA",      168360,147025
"San Francisco-Oakland-Hayward, CA",      213560,181144
"San Jose-Sunnyvale-Santa Clara, CA",      232320,201567
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",      138570,123067
"Santa Cruz-Watsonville, CA",      130680,113935
"Santa Fe, NM",       92230,97180
"Santa Maria-Santa Barbara, CA",      139230,122191
"Santa Rosa, CA",      161070,143180
"Scranton--Wilkes-Barre--Hazleton, PA",       98320,106982
"Seattle-Tacoma-Bellevue, WA",      140120,123263
"Sebastian-Vero Beach, FL",      100780,105595
"Sebring, FL",       82180,91118
"Sheboygan, WI",      106800,119226
"Sherman-Denison, TX",      102580,110736
"Shreveport-Bossier City, LA",      107970,121462
"Sierra Vista-Douglas, AZ",       87240,98876
"Sioux City, IA-NE-SD",      106950,121843
"Sioux Falls, SD",       97880,108458
"South Bend-Mishawaka, IN-MI",      104780,113659
"Spartanburg, SC",      101020,110248
"Spokane-Spokane Valley, WA",      106830,104051
"Springfield, IL",      101530,113341
"Springfield, MA-CT",      124970,125630
"Springfield, MO",      102470,117933
"Springfield, OH",      105920,119430
"St. Cloud, MN",      101940,110983
"St. George, UT",      101600,107206
"St. Joseph, MO-KS",       97280,111501
"St. Louis, MO-IL",      125500,129822
"State College, PA",       97570,101137
"Staunton-Waynesboro, VA",      102350,111881
"Stockton-Lodi, CA",      146290,134780
"Sumter, SC",       94370,106732
"Syracuse, NY",      129540,138670
"Tallahassee, FL",       80930,85626
"Tampa-St. Petersburg-Clearwater, FL",      117650,118003
"Terre Haute, IN",      130660,150433
"Texarkana, TX-AR",       94990,111501
"The Villages, FL",       96170,105221
"Toledo, OH",      104740,116139
"Topeka, KS",       84470,96230
"Trenton, NJ",      141410,140275
"Tucson, AZ",      109740,116976
"Tulsa, OK",      108960,120354
"Tuscaloosa, AL",       91240,104907
"Twin Falls, ID",       74090,81505
"Tyler, TX",      101440,109962
"Urban Honolulu, HI",       99240,87940
"Utica-Rome, NY",      119680,133498
"Valdosta, GA",      110030,122492
"Vallejo-Fairfield, CA",      131670,116950
"Victoria, TX",      101940,111817
"Vineland-Bridgeton, NJ",      106220,114465
"Virginia Beach-Norfolk-Newport News, VA-NC",      107510,109747
"Visalia-Porterville, CA",      129290,126265
"Waco, TX",      127150,136180
"Warner Robins, GA",       99030,106795
"Washington-Arlington-Alexandria, DC-VA-MD-WV",      176280,158360
"Waterloo-Cedar Falls, IA",      101590,115543
"Watertown-Fort Drum, NY",      109290,116528
"Wausau, WI",       98060,108375
"Weirton-Steubenville, WV-OH",       88060,98869
"Wenatchee, WA",      107080,103799
"Wheeling, WV-OH",      106070,118854
"Wichita Falls, TX",       90470,101969
"Wichita, KS",       94730,106240
"Williamsport, PA",       83990,93628
"Wilmington, NC",      103470,106618
"Winchester, VA-WV",      101060,105292
"Winston-Salem, NC",      147930,160120
"Worcester, MA-CT",      112690,107238
"Yakima, WA",      124970,123767
"York-Hanover, PA",      100290,104933
"Youngstown-Warren-Boardman, OH-PA",       82010,94656
"Yuba City, CA",      107040,104204
"Yuma, AZ",      105860,122946
