Date,Federal employees
1/1/1970,2861
2/1/1970,2849
3/1/1970,2921
4/1/1970,2996
5/1/1970,2919
6/1/1970,2867
7/1/1970,2838
8/1/1970,2824
9/1/1970,2829
10/1/1970,2827
11/1/1970,2830
12/1/1970,2824
1/1/1971,2823
2/1/1971,2816
3/1/1971,2806
4/1/1971,2810
5/1/1971,2808
6/1/1971,2827
7/1/1971,2837
8/1/1971,2849
9/1/1971,2848
10/1/1971,2845
11/1/1971,2839
12/1/1971,2824
1/1/1972,2839
2/1/1972,2831
3/1/1972,2823
4/1/1972,2822
5/1/1972,2817
6/1/1972,2814
7/1/1972,2787
8/1/1972,2806
9/1/1972,2807
10/1/1972,2811
11/1/1972,2812
12/1/1972,2812
1/1/1973,2805
2/1/1973,2796
3/1/1973,2798
4/1/1973,2796
5/1/1973,2800
6/1/1973,2790
7/1/1973,2761
8/1/1973,2782
9/1/1973,2788
10/1/1973,2791
11/1/1973,2801
12/1/1973,2813
1/1/1974,2817
2/1/1974,2833
3/1/1974,2838
4/1/1974,2846
5/1/1974,2853
6/1/1974,2859
7/1/1974,2869
8/1/1974,2874
9/1/1974,2876
10/1/1974,2875
11/1/1974,2875
12/1/1974,2874
1/1/1975,2873
2/1/1975,2873
3/1/1975,2875
4/1/1975,2874
5/1/1975,2875
6/1/1975,2871
7/1/1975,2885
8/1/1975,2886
9/1/1975,2891
10/1/1975,2893
11/1/1975,2893
12/1/1975,2897
1/1/1976,2887
2/1/1976,2882
3/1/1976,2876
4/1/1976,2872
5/1/1976,2866
6/1/1976,2850
7/1/1976,2854
8/1/1976,2855
9/1/1976,2855
10/1/1976,2853
11/1/1976,2864
12/1/1976,2850
1/1/1977,2851
2/1/1977,2851
3/1/1977,2854
4/1/1977,2858
5/1/1977,2857
6/1/1977,2853
7/1/1977,2852
8/1/1977,2860
9/1/1977,2865
10/1/1977,2867
11/1/1977,2872
12/1/1977,2870
1/1/1978,2881
2/1/1978,2881
3/1/1978,2879
4/1/1978,2881
5/1/1978,2881
6/1/1978,2886
7/1/1978,2892
8/1/1978,2902
9/1/1978,2908
10/1/1978,2915
11/1/1978,2919
12/1/1978,2899
1/1/1979,2916
2/1/1979,2912
3/1/1979,2905
4/1/1979,2883
5/1/1979,2880
6/1/1979,2882
7/1/1979,2884
8/1/1979,2925
9/1/1979,2884
10/1/1979,2887
11/1/1979,2886
12/1/1979,2886
1/1/1980,2886
2/1/1980,2907
3/1/1980,2960
4/1/1980,3258
5/1/1980,3088
6/1/1980,3076
7/1/1980,3023
8/1/1980,2980
9/1/1980,2936
10/1/1980,2958
11/1/1980,2960
12/1/1980,2961
1/1/1981,2961
2/1/1981,2946
3/1/1981,2932
4/1/1981,2915
5/1/1981,2904
6/1/1981,2908
7/1/1981,2912
8/1/1981,2921
9/1/1981,2920
10/1/1981,2920
11/1/1981,2913
12/1/1981,2907
1/1/1982,2902
2/1/1982,2894
3/1/1982,2890
4/1/1982,2872
5/1/1982,2855
6/1/1982,2873
7/1/1982,2876
8/1/1982,2885
9/1/1982,2876
10/1/1982,2890
11/1/1982,2896
12/1/1982,2896
1/1/1983,2921
2/1/1983,2910
3/1/1983,2908
4/1/1983,2902
5/1/1983,2904
6/1/1983,2905
7/1/1983,2908
8/1/1983,2913
9/1/1983,2935
10/1/1983,2928
11/1/1983,2920
12/1/1983,2923
1/1/1984,2920
2/1/1984,2922
3/1/1984,2926
4/1/1984,2931
5/1/1984,2937
6/1/1984,2941
7/1/1984,2945
8/1/1984,2950
9/1/1984,2955
10/1/1984,2957
11/1/1984,2962
12/1/1984,2964
1/1/1985,2964
2/1/1985,2961
3/1/1985,2973
4/1/1985,2996
5/1/1985,3008
6/1/1985,3019
7/1/1985,3029
8/1/1985,3037
9/1/1985,3038
10/1/1985,3039
11/1/1985,3046
12/1/1985,3051
1/1/1986,3055
2/1/1986,3056
3/1/1986,3055
4/1/1986,3052
5/1/1986,3043
6/1/1986,3027
7/1/1986,3023
8/1/1986,3035
9/1/1986,3043
10/1/1986,3045
11/1/1986,3046
12/1/1986,3051
1/1/1987,3060
2/1/1987,3064
3/1/1987,3072
4/1/1987,3073
5/1/1987,3078
6/1/1987,3085
7/1/1987,3089
8/1/1987,3094
9/1/1987,3100
10/1/1987,3111
11/1/1987,3122
12/1/1987,3126
1/1/1988,3125
2/1/1988,3119
3/1/1988,3113
4/1/1988,3107
5/1/1988,3100
6/1/1988,3099
7/1/1988,3104
8/1/1988,3119
9/1/1988,3141
10/1/1988,3153
11/1/1988,3159
12/1/1988,3156
1/1/1989,3158
2/1/1989,3159
3/1/1989,3152
4/1/1989,3142
5/1/1989,3143
6/1/1989,3137
7/1/1989,3135
8/1/1989,3133
9/1/1989,3127
10/1/1989,3124
11/1/1989,3121
12/1/1989,3098
1/1/1990,3103
2/1/1990,3109
3/1/1990,3194
4/1/1990,3259
5/1/1990,3435
6/1/1990,3332
7/1/1990,3274
8/1/1990,3174
9/1/1990,3136
10/1/1990,3114
11/1/1990,3108
12/1/1990,3110
1/1/1991,3098
2/1/1991,3096
3/1/1991,3095
4/1/1991,3086
5/1/1991,3096
6/1/1991,3103
7/1/1991,3133
8/1/1991,3121
9/1/1991,3121
10/1/1991,3131
11/1/1991,3128
12/1/1991,3121
1/1/1992,3137
2/1/1992,3121
3/1/1992,3121
4/1/1992,3117
5/1/1992,3119
6/1/1992,3117
7/1/1992,3117
8/1/1992,3109
9/1/1992,3107
10/1/1992,3090
11/1/1992,3083
12/1/1992,3101
1/1/1993,3092
2/1/1993,3079
3/1/1993,3071
4/1/1993,3069
5/1/1993,3065
6/1/1993,3067
7/1/1993,3071
8/1/1993,3064
9/1/1993,3057
10/1/1993,3039
11/1/1993,3036
12/1/1993,3037
1/1/1994,3053
2/1/1994,3046
3/1/1994,3043
4/1/1994,3034
5/1/1994,3027
6/1/1994,3017
7/1/1994,3009
8/1/1994,3002
9/1/1994,3002
10/1/1994,2997
11/1/1994,2984
12/1/1994,2983
1/1/1995,2973
2/1/1995,2970
3/1/1995,2965
4/1/1995,2964
5/1/1995,2959
6/1/1995,2959
7/1/1995,2949
8/1/1995,2943
9/1/1995,2929
10/1/1995,2934
11/1/1995,2913
12/1/1995,2903
1/1/1996,2900
2/1/1996,2905
3/1/1996,2900
4/1/1996,2894
5/1/1996,2887
6/1/1996,2884
7/1/1996,2877
8/1/1996,2873
9/1/1996,2866
10/1/1996,2845
11/1/1996,2845
12/1/1996,2839
1/1/1997,2845
2/1/1997,2838
3/1/1997,2836
4/1/1997,2816
5/1/1997,2813
6/1/1997,2815
7/1/1997,2778
8/1/1997,2777
9/1/1997,2772
10/1/1997,2791
11/1/1997,2796
12/1/1997,2789
1/1/1998,2772
2/1/1998,2768
3/1/1998,2762
4/1/1998,2752
5/1/1998,2762
6/1/1998,2762
7/1/1998,2771
8/1/1998,2776
9/1/1998,2772
10/1/1998,2778
11/1/1998,2790
12/1/1998,2785
1/1/1999,2765
2/1/1999,2773
3/1/1999,2767
4/1/1999,2793
5/1/1999,2764
6/1/1999,2766
7/1/1999,2765
8/1/1999,2773
9/1/1999,2766
10/1/1999,2766
11/1/1999,2767
12/1/1999,2771
1/1/2000,2768
2/1/2000,2796
3/1/2000,2884
4/1/2000,2911
5/1/2000,3244
6/1/2000,3004
7/1/2000,2942
8/1/2000,2868
9/1/2000,2745
10/1/2000,2736
11/1/2000,2737
12/1/2000,2745
1/1/2001,2753
2/1/2001,2752
3/1/2001,2755
4/1/2001,2755
5/1/2001,2758
6/1/2001,2780
7/1/2001,2783
8/1/2001,2780
9/1/2001,2770
10/1/2001,2763
11/1/2001,2759
12/1/2001,2751
1/1/2002,2756
2/1/2002,2757
3/1/2002,2755
4/1/2002,2755
5/1/2002,2768
6/1/2002,2768
7/1/2002,2757
8/1/2002,2762
9/1/2002,2768
10/1/2002,2780
11/1/2002,2781
12/1/2002,2780
1/1/2003,2789
2/1/2003,2789
3/1/2003,2791
4/1/2003,2769
5/1/2003,2753
6/1/2003,2763
7/1/2003,2760
8/1/2003,2751
9/1/2003,2749
10/1/2003,2742
11/1/2003,2728
12/1/2003,2740
1/1/2004,2732
2/1/2004,2731
3/1/2004,2731
4/1/2004,2753
5/1/2004,2730
6/1/2004,2730
7/1/2004,2729
8/1/2004,2729
9/1/2004,2729
10/1/2004,2724
11/1/2004,2727
12/1/2004,2728
1/1/2005,2727
2/1/2005,2728
3/1/2005,2733
4/1/2005,2725
5/1/2005,2734
6/1/2005,2733
7/1/2005,2728
8/1/2005,2731
9/1/2005,2732
10/1/2005,2735
11/1/2005,2739
12/1/2005,2733
1/1/2006,2727
2/1/2006,2733
3/1/2006,2733
4/1/2006,2733
5/1/2006,2734
6/1/2006,2736
7/1/2006,2740
8/1/2006,2733
9/1/2006,2732
10/1/2006,2731
11/1/2006,2729
12/1/2006,2730
1/1/2007,2731
2/1/2007,2732
3/1/2007,2731
4/1/2007,2732
5/1/2007,2733
6/1/2007,2729
7/1/2007,2727
8/1/2007,2738
9/1/2007,2737
10/1/2007,2734
11/1/2007,2744
12/1/2007,2756
1/1/2008,2738
2/1/2008,2747
3/1/2008,2752
4/1/2008,2755
5/1/2008,2757
6/1/2008,2759
7/1/2008,2767
8/1/2008,2766
9/1/2008,2768
10/1/2008,2772
11/1/2008,2778
12/1/2008,2775
1/1/2009,2786
2/1/2009,2795
3/1/2009,2797
4/1/2009,2922
5/1/2009,2860
6/1/2009,2814
7/1/2009,2826
8/1/2009,2825
9/1/2009,2826
10/1/2009,2843
11/1/2009,2842
12/1/2009,2831
1/1/2010,2860
2/1/2010,2872
3/1/2010,2923
4/1/2010,2984
5/1/2010,3416
6/1/2010,3193
7/1/2010,3051
8/1/2010,2945
9/1/2010,2869
10/1/2010,2866
11/1/2010,2866
12/1/2010,2870
1/1/2011,2874
2/1/2011,2876
3/1/2011,2877
4/1/2011,2870
5/1/2011,2871
6/1/2011,2860
7/1/2011,2862
8/1/2011,2850
9/1/2011,2846
10/1/2011,2850
11/1/2011,2842
12/1/2011,2836
1/1/2012,2833
2/1/2012,2828
3/1/2012,2828
4/1/2012,2826
5/1/2012,2823
6/1/2012,2824
7/1/2012,2815
8/1/2012,2820
9/1/2012,2822
10/1/2012,2824
11/1/2012,2809
12/1/2012,2806
1/1/2013,2806
2/1/2013,2806
3/1/2013,2794
4/1/2013,2794
5/1/2013,2775
6/1/2013,2771
7/1/2013,2761
8/1/2013,2754
9/1/2013,2753
10/1/2013,2739
11/1/2013,2746
12/1/2013,2741
1/1/2014,2736
2/1/2014,2731
3/1/2014,2728
4/1/2014,2728
5/1/2014,2728
6/1/2014,2729
7/1/2014,2731
8/1/2014,2735
9/1/2014,2735
10/1/2014,2735
11/1/2014,2740
12/1/2014,2743
1/1/2015,2745
2/1/2015,2747
3/1/2015,2748
4/1/2015,2763
5/1/2015,2753
6/1/2015,2754
7/1/2015,2756
8/1/2015,2760
9/1/2015,2759
10/1/2015,2759
11/1/2015,2766
12/1/2015,2776
1/1/2016,2771
2/1/2016,2778
3/1/2016,2783
4/1/2016,2785
5/1/2016,2792
6/1/2016,2797
7/1/2016,2800
8/1/2016,2803
9/1/2016,2806
10/1/2016,2804
11/1/2016,2798
12/1/2016,2815
1/1/2017,2813
2/1/2017,2812
3/1/2017,2810
4/1/2017,2798
5/1/2017,2808
6/1/2017,2805
7/1/2017,2806
8/1/2017,2802
9/1/2017,2799
10/1/2017,2802
11/1/2017,2791
12/1/2017,2794
1/1/2018,2794
2/1/2018,2790
3/1/2018,2792
4/1/2018,2800
5/1/2018,2793
6/1/2018,2798
7/1/2018,2799
8/1/2018,2801
9/1/2018,2805
10/1/2018,2805
11/1/2018,2809
12/1/2018,2808
1/1/2019,2808
2/1/2019,2810
3/1/2019,2811
4/1/2019,2827
5/1/2019,2829
6/1/2019,2833
7/1/2019,2829
8/1/2019,2854
9/1/2019,2852
10/1/2019,2837
11/1/2019,2842
12/1/2019,2837
1/1/2020,2851
2/1/2020,2851
3/1/2020,2874
4/1/2020,2875
5/1/2020,2878
6/1/2020,2884
7/1/2020,2908
8/1/2020,3157
9/1/2020,3121
10/1/2020,2980
11/1/2020,2895
12/1/2020,2895
1/1/2021,2883
2/1/2021,2878
3/1/2021,2884
4/1/2021,2894
5/1/2021,2889
6/1/2021,2889
7/1/2021,2890
8/1/2021,2888
9/1/2021,2887
10/1/2021,2878
11/1/2021,2890
12/1/2021,2884
1/1/2022,2878
2/1/2022,2871
3/1/2022,2869
4/1/2022,2865
5/1/2022,2864
6/1/2022,2851
7/1/2022,2864
8/1/2022,2859
9/1/2022,2863
10/1/2022,2871
11/1/2022,2875
12/1/2022,2876
1/1/2023,2882
2/1/2023,2892
3/1/2023,2900
4/1/2023,2908
5/1/2023,2914
6/1/2023,2920
7/1/2023,2928
8/1/2023,2939
9/1/2023,2945
10/1/2023,2953
11/1/2023,2952
12/1/2023,2961
1/1/2024,2974
2/1/2024,2981
3/1/2024,2993
4/1/2024,2993
5/1/2024,2994
6/1/2024,2996
7/1/2024,2996
8/1/2024,2997
9/1/2024,3001
10/1/2024,3003
11/1/2024,3001
