"Sym","Issuer Name","Cl","CUSIP","Option Type","Q1 2024","Q2 2024","Diff","Chg %","Q1 2024","Q2 2024","Diff","Chg %"
"SOLV","SOLVENTUM CORP","COM SHS","83444M101","","10,000","30,000","20,000","200%","695","1,586","891","128%"
"ALRM","ALARM COM HLDGS INC","COM","011642105","","0","20,880","20,880","NEW","0","1,326","1,326","NEW"
"GRAL","GRAIL INC","COM","384747101","","0","75,000","75,000","NEW","0","1,152","1,152","NEW"
"ABL","ABACUS LIFE INC","CL A","00258Y104","","0","131,481","131,481","NEW","0","1,137","1,137","NEW"
"MQ","MARQETA INC","CLASS A COM","57142B104","","0","200,000","200,000","NEW","0","1,096","1,096","NEW"
"SPSB","SPDR SER TR","PORTFOLIO SHORT","78464A474","","55,800","32,000","-23,800","-43%","1,661","950","-711","-43%"
"","ENPHASE ENERGY INC","NOTE 3/0","29355AAH0","","1,000,000","1,000,000","0","0%","920","913","-7","-1%"
"RAPP","RAPPORT THERAPEUTICS INC","COM","75383L102","","0","30,000","30,000","NEW","0","697","697","NEW"
"AVGO","BROADCOM INC","COM","11135F101","","0","365","365","NEW","0","586","586","NEW"
"XLF","SELECT SECTOR SPDR TR","FINANCIAL","81369Y605","","12,270","12,270","0","0%","516","504","-12","-2%"
"HCP","HASHICORP INC","COM CL A","418100103","","0","1","1","NEW","0","0","0","NEW"
"NET","CLOUDFLARE INC","CL A COM","18915M107","put","1,500,000","0","-1,500,000","-100%","145,245","0","-145,245","-100%"
"","MICROSTRATEGY INC","NOTE 0.750%12/1","594972AC5","","31,292,000","0","-31,292,000","-100%","134,197","0","-134,197","-100%"
"","MICROSTRATEGY INC","NOTE 2/1","594972AE1","","90,000,000","0","-90,000,000","-100%","123,138","0","-123,138","-100%"
"AEL","AMERICAN EQTY INVT LIFE HLD","COM","025676206","","1,919,302","0","-1,919,302","-100%","107,903","0","-107,903","-100%"
"","PELOTON INTERACTIVE INC","NOTE 2/1","70614WAB6","","117,500,000","0","-117,500,000","-100%","100,021","0","-100,021","-100%"
"XHB","SPDR SER TR","S&P HOMEBUILD","78464A888","put","750,000","0","-750,000","-100%","83,692","0","-83,692","-100%"
"EWJ","ISHARES INC","MSCI JPN ETF NEW","46434G822","put","1,000,000","0","-1,000,000","-100%","71,350","0","-71,350","-100%"
"ARMK","ARAMARK","COM","03852U106","","2,059,000","0","-2,059,000","-100%","66,958","0","-66,958","-100%"
"IWM","ISHARES TR","RUSSELL 2000 ETF","464287655","call","300,000","0","-300,000","-100%","63,090","0","-63,090","-100%"
"BABA","ALIBABA GROUP HLDG LTD","SPONSORED ADS","01609W102","call","750,000","0","-750,000","-100%","54,270","0","-54,270","-100%"
"SYF","SYNCHRONY FINANCIAL","COM","87165B103","put","1,250,000","0","-1,250,000","-100%","53,900","0","-53,900","-100%"
"","CONFLUENT INC","NOTE 1/1","20717MAB9","","61,000,000","0","-61,000,000","-100%","52,457","0","-52,457","-100%"
"OKTA","OKTA INC","CL A","679295105","","426,326","0","-426,326","-100%","44,602","0","-44,602","-100%"
"OKTA","OKTA INC","CL A","679295105","put","400,000","0","-400,000","-100%","41,848","0","-41,848","-100%"
"LITE","LUMENTUM HLDGS INC","COM","55024U109","call","814,100","0","-814,100","-100%","38,547","0","-38,547","-100%"
"WSM","WILLIAMS SONOMA INC","COM","969904101","put","100,000","0","-100,000","-100%","31,753","0","-31,753","-100%"
"ESTC","ELASTIC N V","ORD SHS","N14506104","call","300,000","0","-300,000","-100%","30,072","0","-30,072","-100%"
"FSLY","FASTLY INC","CL A","31188V100","call","2,200,000","0","-2,200,000","-100%","28,534","0","-28,534","-100%"
"W","WAYFAIR INC","CL A","94419L101","call","400,000","0","-400,000","-100%","27,152","0","-27,152","-100%"
"VSTS","VESTIS CORPORATION","COM SHS","29430C102","","1,361,212","0","-1,361,212","-100%","26,230","0","-26,230","-100%"
"SQ","BLOCK INC","CL A","852234103","call","300,000","0","-300,000","-100%","25,374","0","-25,374","-100%"
"","LANTHEUS HLDGS INC","NOTE 2.625%12/1","516544AB9","","20,000,000","0","-20,000,000","-100%","22,256","0","-22,256","-100%"
"NET","CLOUDFLARE INC","CL A COM","18915M107","","185,356","0","-185,356","-100%","17,948","0","-17,948","-100%"
"FXI","ISHARES TR","CHINA LG-CAP ETF","464287184","","675,000","0","-675,000","-100%","16,247","0","-16,247","-100%"
"SNAP","SNAP INC","CL A","83304A106","call","1,400,000","0","-1,400,000","-100%","16,072","0","-16,072","-100%"
"","ACORDA THERAPEUTICS INC","NOTE 6.000%12/0","00484MAC0","","27,951,000","0","-27,951,000","-100%","15,928","0","-15,928","-100%"
"HYG","ISHARES TR","IBOXX HI YD ETF","464288513","","200,000","0","-200,000","-100%","15,546","0","-15,546","-100%"
"XOP","SPDR SER TR","S&P OILGAS EXP","78468R556","put","100,000","0","-100,000","-100%","15,493","0","-15,493","-100%"
"MTDR","MATADOR RES CO","COM","576485205","","225,000","0","-225,000","-100%","15,023","0","-15,023","-100%"
"ALAB","ASTERA LABS INC","COM","04626A103","","201,600","0","-201,600","-100%","14,956","0","-14,956","-100%"
"REGN","REGENERON PHARMACEUTICALS","COM","75886F107","","15,000","0","-15,000","-100%","14,437","0","-14,437","-100%"
"GM","GENERAL MTRS CO","COM","37045V100","put","300,000","0","-300,000","-100%","13,605","0","-13,605","-100%"
"RILY","B. RILEY FINANCIAL INC","COM","05580M108","call","600,000","0","-600,000","-100%","12,702","0","-12,702","-100%"
"LNTH","LANTHEUS HLDGS INC","COM","516544103","put","200,000","0","-200,000","-100%","12,448","0","-12,448","-100%"
"RILY","B. RILEY FINANCIAL INC","COM","05580M108","put","579,800","0","-579,800","-100%","12,274","0","-12,274","-100%"
"VNOM","VIPER ENERGY INC","CL A","927959106","","313,850","0","-313,850","-100%","12,070","0","-12,070","-100%"
"BTSG","BRIGHTSPRING HEALTH SVCS INC","COM","10950A106","","1,101,554","0","-1,101,554","-100%","11,973","0","-11,973","-100%"
"FCX","FREEPORT-MCMORAN INC","CL B","35671D857","","251,800","0","-251,800","-100%","11,839","0","-11,839","-100%"
"ARGX","ARGENX SE","SPONSORED ADR","04016X101","","30,000","0","-30,000","-100%","11,811","0","-11,811","-100%"
"REXR","REXFORD INDL RLTY INC","COM","76169C100","","225,000","0","-225,000","-100%","11,317","0","-11,317","-100%"
"SNX","TD SYNNEX CORPORATION","COM","87162W100","","100,000","0","-100,000","-100%","11,310","0","-11,310","-100%"
"HHH","HOWARD HUGHES HOLDINGS INC","COM","44267T102","","145,000","0","-145,000","-100%","10,529","0","-10,529","-100%"
"CPE","CALLON PETE CO DEL","COM","13123X508","","250,000","0","-250,000","-100%","8,940","0","-8,940","-100%"
"MP","MP MATERIALS CORP","COM CL A","553368101","","585,209","0","-585,209","-100%","8,368","0","-8,368","-100%"
"TSLX","SIXTH STREET SPECIALTY LENDI","COM","83012A109","","370,000","0","-370,000","-100%","7,929","0","-7,929","-100%"
